Fecha,DolarToday,Dolar
41075,9.39,9.39E-05
41076,9.39,9.39E-05
41077,9.39,9.39E-05
41078,9.39,9.39E-05
41079,9.33,9.33E-05
41080,9.34,9.34E-05
41081,9.34,9.34E-05
41082,9.42,9.42E-05
41083,9.42,9.42E-05
41084,9.42,9.42E-05
41085,9.45,9.45E-05
41086,9.51,9.51E-05
41087,9.45,9.45E-05
41088,9.51,9.51E-05
41089,9.37,9.37E-05
41090,9.37,9.37E-05
41091,9.37,9.37E-05
41092,9.37,9.37E-05
41093,9.36,9.36E-05
41095,9.33,9.33E-05
41096,9.33,9.33E-05
41097,9.33,9.33E-05
41098,9.4,9.4E-05
41099,9.4,9.4E-05
41100,9.4,9.4E-05
41101,9.42,9.42E-05
41102,9.4,9.4E-05
41103,9.36,9.36E-05
41104,9.36,9.36E-05
41105,9.37,9.37E-05
41106,9.36,9.36E-05
41107,9.03,9.03E-05
41108,9.35,9.35E-05
41109,9.34,9.34E-05
41110,9.34,9.34E-05
41111,9.34,9.34E-05
41112,9.35,9.35E-05
41113,9.42,9.42E-05
41114,9.45,9.45E-05
41119,9.42,9.42E-05
41120,9.43,9.43E-05
41121,9.42,9.42E-05
41122,9.4,9.4E-05
41123,9.43,9.43E-05
41124,9.43,9.43E-05
41125,9.43,9.43E-05
41126,9.43,9.43E-05
41127,9.4,9.4E-05
41128,9.4,9.4E-05
41129,9.46,9.46E-05
41130,9.45,9.45E-05
41131,9.45,9.45E-05
41132,9.45,9.45E-05
41133,9.43,9.43E-05
41134,9.48,9.48E-05
41135,9.48,9.48E-05
41136,9.66,9.66E-05
41137,9.66,9.66E-05
41138,9.63,9.63E-05
41139,9.63,9.63E-05
41140,9.68,9.68E-05
41141,10.7,0.000107
41142,10.7,0.000107
41143,10.68,0.0001068
41144,10.64,0.0001064
41145,10.64,0.0001064
41146,10.64,0.0001064
41147,10.64,0.0001064
41148,10.68,0.0001068
41149,11.58,0.0001158
41150,11.58,0.0001158
41151,11.54,0.0001154
41152,11.54,0.0001154
41153,11.54,0.0001154
41154,11.58,0.0001158
41155,11.4,0.000114
41156,11.4,0.000114
41157,11.4,0.000114
41158,11.29,0.0001129
41159,11.21,0.0001121
41160,11.21,0.0001121
41161,11.25,0.0001125
41162,11.25,0.0001125
41163,11.25,0.0001125
41164,11.26,0.0001126
41165,11.26,0.0001126
41166,11.62,0.0001162
41167,11.62,0.0001162
41168,11.62,0.0001162
41169,11.6,0.000116
41170,12.77,0.0001277
41171,12.77,0.0001277
41172,12.55,0.0001255
41173,12.37,0.0001237
41174,12.37,0.0001237
41175,12.41,0.0001241
41176,12.41,0.0001241
41178,11.98,0.0001198
41179,12,0.00012
41180,12,0.00012
41181,12,0.00012
41182,12.08,0.0001208
41183,12.08,0.0001208
41185,12.08,0.0001208
41186,12.1,0.000121
41187,12.14,0.0001214
41189,12.14,0.0001214
41190,12.14,0.0001214
41191,12.14,0.0001214
41192,12.16,0.0001216
41193,12.16,0.0001216
41194,12.15,0.0001215
41195,12.15,0.0001215
41196,11.99,0.0001199
41197,11.99,0.0001199
41198,11.98,0.0001198
41199,12.85,0.0001285
41200,12.65,0.0001265
41201,12.65,0.0001265
41202,12.65,0.0001265
41203,12.67,0.0001267
41204,13.33,0.0001333
41205,13.43,0.0001343
41206,14.52,0.0001452
41207,14.56,0.0001456
41208,14.56,0.0001456
41209,14.56,0.0001456
41210,14.63,0.0001463
41211,14.08,0.0001408
41212,14.08,0.0001408
41213,14.07,0.0001407
41214,14.6,0.000146
41215,14.6,0.000146
41216,14.6,0.000146
41217,14.04,0.0001404
41218,14.06,0.0001406
41219,13.97,0.0001397
41220,15.13,0.0001513
41221,15.13,0.0001513
41222,14.89,0.0001489
41223,14.89,0.0001489
41224,14.89,0.0001489
41225,14.93,0.0001493
41226,14.93,0.0001493
41227,14.91,0.0001491
41228,15.07,0.0001507
41229,15.07,0.0001507
41230,15.07,0.0001507
41231,15.07,0.0001507
41232,15.52,0.0001552
41233,15.53,0.0001553
41234,15.52,0.0001552
41235,17.47,0.0001747
41236,16.56,0.0001656
41237,16.56,0.0001656
41238,16.54,0.0001654
41239,16.59,0.0001659
41240,16.56,0.0001656
41241,16.56,0.0001656
41242,16.5,0.000165
41243,16.5,0.000165
41244,16.5,0.000165
41245,16.5,0.000165
41246,17.11,0.0001711
41247,17.11,0.0001711
41248,17.25,0.0001725
41249,17.53,0.0001753
41250,16.48,0.0001648
41251,16.48,0.0001648
41252,17.47,0.0001747
41253,17.48,0.0001748
41254,17.29,0.0001729
41255,17.26,0.0001726
41256,17.26,0.0001726
41257,17.26,0.0001726
41258,17.26,0.0001726
41259,17.26,0.0001726
41260,17.26,0.0001726
41261,17.25,0.0001725
41262,17.21,0.0001721
41263,17.19,0.0001719
41264,17.19,0.0001719
41265,17.19,0.0001719
41267,17.19,0.0001719
41268,17.08,0.0001708
41269,17.37,0.0001737
41270,17.39,0.0001739
41271,17.43,0.0001743
41272,17.43,0.0001743
41273,17.43,0.0001743
41274,17.43,0.0001743
41275,17.32,0.0001732
41276,17.27,0.0001727
41277,17.61,0.0001761
41278,17.72,0.0001772
41279,17.72,0.0001772
41280,17.72,0.0001772
41282,17.7,0.000177
41283,17.49,0.0001749
41284,17.46,0.0001746
41285,17.45,0.0001745
41286,17.45,0.0001745
41287,17.46,0.0001746
41288,17.42,0.0001742
41289,17.42,0.0001742
41290,17.56,0.0001756
41291,17.51,0.0001751
41292,17.52,0.0001752
41293,17.52,0.0001752
41294,17.52,0.0001752
41295,17.52,0.0001752
41296,17.59,0.0001759
41297,17.59,0.0001759
41298,18.73,0.0001873
41299,18.73,0.0001873
41300,18.73,0.0001873
41301,18.73,0.0001873
41302,18.73,0.0001873
41303,18.69,0.0001869
41304,18.69,0.0001869
41305,18.69,0.0001869
41306,18.71,0.0001871
41307,18.71,0.0001871
41308,18.71,0.0001871
41309,18.83,0.0001883
41310,18.84,0.0001884
41311,20.19,0.0002019
41312,20.1,0.000201
41313,26.62,0.0002662
41314,26.62,0.0002662
41315,20.58,0.0002058
41316,22.31,0.0002231
41317,22.03,0.0002203
41319,21.75,0.0002175
41321,21.79,0.0002179
41323,21.33,0.0002133
41324,21.52,0.0002152
41325,21.34,0.0002134
41326,21.66,0.0002166
41327,21.74,0.0002174
41328,21.74,0.0002174
41329,21.84,0.0002184
41385,24.18,0.0002418
41386,23.94,0.0002394
41387,23.62,0.0002362
41388,23.57,0.0002357
41389,24.74,0.0002474
41390,25.48,0.0002548
41391,25.48,0.0002548
41392,25.48,0.0002548
41393,25.42,0.0002542
41394,25.35,0.0002535
41395,25.4,0.000254
41396,25.17,0.0002517
41397,25.15,0.0002515
41398,25.15,0.0002515
41399,25.17,0.0002517
41400,25.1,0.000251
41401,26.11,0.0002611
41402,26.18,0.0002618
41403,26.21,0.0002621
41404,26.15,0.0002615
41405,26.15,0.0002615
41406,26.15,0.0002615
41407,26.6,0.000266
41408,26.26,0.0002626
41409,26.36,0.0002636
41410,26.28,0.0002628
41411,26.67,0.0002667
41412,26.67,0.0002667
41413,26.66,0.0002666
41414,26.73,0.0002673
41415,26.78,0.0002678
41416,26.85,0.0002685
41417,27.04,0.0002704
41418,27.24,0.0002724
41419,27.24,0.0002724
41420,27.25,0.0002725
41421,27.31,0.0002731
41422,27.54,0.0002754
41423,28.37,0.0002837
41424,28.25,0.0002825
41425,28.43,0.0002843
41426,28.43,0.0002843
41427,28.47,0.0002847
41428,28.37,0.0002837
41429,28.32,0.0002832
41430,28.4,0.000284
41431,29.84,0.0002984
41432,31.12,0.0003112
41433,31.12,0.0003112
41434,31.22,0.0003122
41435,31.16,0.0003116
41436,31.25,0.0003125
41437,31.16,0.0003116
41438,31.02,0.0003102
41439,30.89,0.0003089
41440,30.89,0.0003089
41441,30.89,0.0003089
41442,30.94,0.0003094
41443,31.25,0.0003125
41444,31.16,0.0003116
41445,31.71,0.0003171
41446,31.93,0.0003193
41447,31.93,0.0003193
41448,31.93,0.0003193
41449,31.81,0.0003181
41450,31.61,0.0003161
41451,31.48,0.0003148
41452,31.52,0.0003152
41453,31.47,0.0003147
41454,31.65,0.0003165
41455,31.65,0.0003165
41456,31.5,0.000315
41457,31.45,0.0003145
41458,31.48,0.0003148
41459,31.39,0.0003139
41460,31.61,0.0003161
41461,31.61,0.0003161
41462,31.6,0.000316
41463,31.6,0.000316
41464,32.62,0.0003262
41465,32.58,0.0003258
41466,32.36,0.0003236
41467,32.26,0.0003226
41468,32.26,0.0003226
41469,32.25,0.0003225
41470,32.16,0.0003216
41471,31.84,0.0003184
41472,31.24,0.0003124
41473,30.41,0.0003041
41474,31.91,0.0003191
41475,31.91,0.0003191
41476,31.91,0.0003191
41477,31.36,0.0003136
41478,31.5,0.000315
41479,31.54,0.0003154
41480,31.46,0.0003146
41481,31.46,0.0003146
41482,31.46,0.0003146
41483,31.46,0.0003146
41484,31.5,0.000315
41485,31.48,0.0003148
41486,31.62,0.0003162
41487,31.68,0.0003168
41488,31.49,0.0003149
41489,31.49,0.0003149
41490,31.51,0.0003151
41491,31.49,0.0003149
41492,31.34,0.0003134
41493,31.35,0.0003135
41494,31.29,0.0003129
41495,33.46,0.0003346
41496,33.46,0.0003346
41497,33.53,0.0003353
41498,34.62,0.0003462
41499,34.84,0.0003484
41500,36.2,0.000362
41501,36.53,0.0003653
41502,36.75,0.0003675
41503,36.75,0.0003675
41504,36.7,0.000367
41505,36.8,0.000368
41506,36.31,0.0003631
41507,36.33,0.0003633
41508,36.24,0.0003624
41509,36.05,0.0003605
41510,36.05,0.0003605
41511,36.05,0.0003605
41512,36.37,0.0003637
41513,37.32,0.0003732
41514,37.32,0.0003732
41515,37.41,0.0003741
41516,37.36,0.0003736
41517,37.36,0.0003736
41518,37.36,0.0003736
41519,37.24,0.0003724
41520,37.49,0.0003749
41521,38.83,0.0003883
